nm;Fake 151, (M, id=3072);Fake 151, (M, id=3073);Fake 152, (M, id=3074);Fake 152, (M, id=3075);Fake 153, (M, id=3076);Fake 153, (M, id=3077);Fake 154, (M, id=3078);Fake 154, (M, id=3079);Fake 155, (M, id=3080);Fake 155, (M, id=3081);Fake 156, (M, id=3082);Fake 156, (M, id=3083);Fake 157, (M, id=3084);Fake 157, (M, id=3085);Fake 158, (M, id=3086);Fake 158, (M, id=3087);Fake 143, (M, id=3056);Fake 143, (M, id=3057);Fake 144, (M, id=3058);Fake 144, (M, id=3059);Fake 145, (M, id=3060);Fake 145, (M, id=3061);Fake 146, (M, id=3062);Fake 146, (M, id=3063);Fake 147, (M, id=3064);Fake 147, (M, id=3065);Fake 148, (M, id=3066);Fake 148, (M, id=3067);Fake 149, (M, id=3068);Fake 149, (M, id=3069);Fake 150, (M, id=3070);Fake 150, (M, id=3071)
670;9.87549828924;9.30511571746;10.9100737661;7.2195536974;8.42370485142;21.7785110516;24.5056548579;19.7224589615;72.5352345272;70.2540343438;87.1384737453;63.8516630921;80.8019856273;81.6814193286;67.4602458342;60.3211709578;43.7855952501;39.1616211453;24.6052690334;27.3554456416;29.3183194589;27.9331989415;32.3174569219;27.038968558;16.3477838376;21.3126478455;60.3120805739;48.1906184821;44.9545047972;43.845891049;33.1408890789;9.71217276536
671;7.33380866492;6.67683330489;8.37517514143;4.63104290214;5.85600662711;19.2449116155;22.0531708848;17.3446909137;72.6054230019;70.2588010027;87.3007339934;63.6036867717;80.4042495933;81.0657896417;66.7531544492;59.864259709;43.8271322034;39.1069713954;24.7327831465;27.2450984899;29.2615890516;27.9593019829;31.9808597982;27.549206332;16.3534903494;21.3584439781;60.3902587802;48.2115539025;44.9848511131;44.109015157;30.4925542902;7.18024182082
672;7.42648068298;6.66788924338;8.4506437534;4.67744299581;5.88417658609;19.3043456158;22.1496783719;17.5364575918;72.6807314665;70.275185961;87.4433735253;63.3997599005;79.9387231632;80.4919073908;66.0097742842;59.2366408506;43.8800255565;39.0708925804;24.8317007203;27.1105764108;29.1446035802;27.9514686222;31.6877367206;28.009608522;16.3691865728;21.4051088248;60.4868597871;48.0934354086;45.0620611422;44.2565437669;30.4176334841;7.1918794624
673;7.50729344799;6.63037429486;8.50756690407;4.72634177774;5.89712101389;19.3279077088;22.2127352418;17.6800241686;72.7840897717;70.3239762667;87.5387841505;63.2261681266;79.4462826934;79.972288146;65.3006758129;58.5177216599;43.9317832655;39.0050571563;24.8862052196;26.9670258346;28.9979446299;27.9079102698;31.4269052242;28.3346524015;16.3132959702;21.4592350911;60.5631432094;47.8596582339;45.1542956209;44.3191250169;30.3586219371;7.10957500009
674;7.57935160441;6.57517862663;8.545269698;4.77545528994;5.88774110845;19.3076727536;22.2256137534;17.7707581836;72.9488309367;70.432995043;87.5342227976;63.0976482872;78.9708816602;79.4847140626;64.7183350281;57.8010327571;43.964720581;38.9262188685;24.8883237464;26.8478314142;28.8374177672;27.8341375852;31.255824004;28.49229931;16.1781885272;21.5648488696;60.6161676499;47.5084470376;45.234913938;44.2147816131;30.3126668316;6.96396357364
675;7.60418050418;6.49675701793;8.55155233172;4.8135309784;5.84430760299;19.2266548042;22.1904590954;17.8208282648;73.1418339168;70.6278705549;87.3677791728;63.0264839915;78.5455734253;79.0049767183;64.2833291229;57.1755911551;43.9529096306;38.828147313;24.8147896188;26.7175484996;28.654484852;27.6970901272;31.2001877729;28.4574737191;15.9460602654;21.655399348;60.6087741433;47.1423717587;45.3221267742;44.0101043146;30.2897379509;6.76600548617
676;7.60080116853;6.40591652977;8.53636050839;4.82736562765;5.77142802755;19.0993382127;22.1309643757;17.8344191126;73.3191383491;70.9058373091;87.0090222881;62.9878610396;78.1839038134;78.5510646863;63.9347600628;56.7104323468;43.8693722107;38.7048376115;24.6769488171;26.5705430727;28.4386490129;27.5390951312;31.2438444408;28.2086295668;15.67398465;21.7164149721;60.4770686868;46.8277727048;45.4051562697;43.7058256248;30.2774292677;6.5652241485
677;7.5495267531;6.28630036207;8.49034395057;4.83032296232;5.67825174842;18.9321855381;22.0545766276;17.8053736371;73.4800185781;71.2576441272;86.4922006679;62.9727791262;77.9013035545;78.124066518;63.6236338396;56.4209045384;43.7195316282;38.5918299863;24.512649032;26.4475130322;28.2218371978;27.4122369203;31.3901084718;27.8399655981;15.4331657404;21.7534872538;60.2580640492;46.5894505962;45.4710888532;43.3377848245;30.2667684756;6.3747275083
678;7.45292013515;6.16389945846;8.41783057504;4.8154034308;5.55926957735;18.7571193343;21.9793971753;17.7475255719;73.6419932385;71.6799313755;85.8656174403;62.9937831288;77.6460204101;77.7314337098;63.3063240944;56.2590048184;43.4704660599;38.4591026804;24.3562802424;26.362571651;28.0067767962;27.3103623088;31.5891082294;27.3967179113;15.2653467057;21.733183885;59.9799071854;46.4643272942;45.5533127036;42.9455562201;30.2429533633;6.23173731278
679;7.33246375929;6.04032624651;8.32038091181;4.78945575245;5.43582287634;18.5913992244;21.9205108431;17.687901835;73.8049787879;72.1154072961;85.1937747034;63.0597279395;77.3654620887;77.4329792545;62.9742134343;56.1790046649;43.1454996133;38.3194302496;24.2139609644;26.3119091093;27.8208760366;27.2764245751;31.8645397551;26.9837689043;15.1968002314;21.6774316258;59.6731715443;46.4408561952;45.6133803862;42.5738793101;30.2127946993;6.13459883019
680;7.22329567033;5.95306336248;8.20455446129;4.79014584878;5.3306192077;18.458691103;21.8805688712;17.629088174;73.9801374676;72.482137734;84.5811464006;63.1547718954;77.0441045148;77.2940461402;62.620250089;56.1230227047;42.7810130494;38.1781060975;24.080772793;26.3018898855;27.6677428617;27.2943640534;32.1257401406;26.6575169177;15.2832812134;21.6031356811;59.4563640223;46.4765694793;45.6478380589;42.1823464797;30.164135455;6.09647056002
